{'time': 1622608728.7943664, 'processing_delay': 2.372774839401245, 'bandwidth': 3276.160124975591}
{'time': 1622608731.43273, 'processing_delay': 1.204019546508789, 'bandwidth': 4097.0471426336535}
{'time': 1622608732.9179623, 'processing_delay': 1.1715998649597168, 'bandwidth': 5466.115294548861}
{'time': 1622608734.3550928, 'processing_delay': 1.2028436660766602, 'bandwidth': 3277.500149568084}
{'time': 1622608735.8235247, 'processing_delay': 1.2196764945983887, 'bandwidth': 5463.3896628573175}
{'time': 1622608737.329048, 'processing_delay': 1.2557284832000732, 'bandwidth': 4095.125186880244}
{'time': 1622608738.8739703, 'processing_delay': 1.2329730987548828, 'bandwidth': 4095.0939504656717}
{'time': 1622608740.4072356, 'processing_delay': 1.2175602912902832, 'bandwidth': 4815.417633868508}
{'time': 1622608741.908805, 'processing_delay': 1.258126974105835, 'bandwidth': 5007.586984605196}
{'time': 1622608743.4392524, 'processing_delay': 1.2422504425048828, 'bandwidth': 4097.187844376269}
{'time': 1622608744.958954, 'processing_delay': 1.2181892395019531, 'bandwidth': 4065.2020747359256}
{'time': 1622608746.486319, 'processing_delay': 1.2164428234100342, 'bandwidth': 3949.162804211982}
{'time': 1622608747.9663131, 'processing_delay': 1.2184882164001465, 'bandwidth': 4094.9533924968823}
{'time': 1622608749.4659905, 'processing_delay': 1.2348997592926025, 'bandwidth': 4098.939608178473}
{'time': 1622608750.982105, 'processing_delay': 1.20292329788208, 'bandwidth': 4096.56257725823}
{'time': 1622608752.497455, 'processing_delay': 1.2184669971466064, 'bandwidth': 4095.015861513995}
{'time': 1622608754.01275, 'processing_delay': 1.187195062637329, 'bandwidth': 4098.767493615608}
{'time': 1622608755.4967759, 'processing_delay': 1.2184314727783203, 'bandwidth': 4097.0471426336535}
{'time': 1622608757.0036864, 'processing_delay': 1.181527853012085, 'bandwidth': 4097.109675548416}
{'time': 1622608758.466398, 'processing_delay': 1.2599291801452637, 'bandwidth': 2730.576391873438}
{'time': 1622608759.9919245, 'processing_delay': 1.1871838569641113, 'bandwidth': 4096.6876154139645}
{'time': 1622608761.464541, 'processing_delay': 1.1923267841339111, 'bandwidth': 4550.42834318649}
{'time': 1622608762.9448357, 'processing_delay': 1.1824445724487305, 'bandwidth': 3277.5701809812485}
{'time': 1622608764.3940547, 'processing_delay': 1.2405221462249756, 'bandwidth': 4097.0471426336535}
{'time': 1622608765.931383, 'processing_delay': 1.209324598312378, 'bandwidth': 5343.461265520416}
{'time': 1622608767.4219208, 'processing_delay': 1.1871986389160156, 'bandwidth': 4098.798786097379}
{'time': 1622608768.9059217, 'processing_delay': 1.187215805053711, 'bandwidth': 4095.0783324370814}
{'time': 1622608770.389969, 'processing_delay': 1.1871905326843262, 'bandwidth': 4097.031509703218}
{'time': 1622608771.8583715, 'processing_delay': 1.1716065406799316, 'bandwidth': 4096.984611627703}
{'time': 1622608773.3111591, 'processing_delay': 1.2208733558654785, 'bandwidth': 4095.0314790660777}
{'time': 1622608774.7975936, 'processing_delay': 1.1871998310089111, 'bandwidth': 4096.968979174457}
{'time': 1622608776.2659962, 'processing_delay': 1.203989028930664, 'bandwidth': 4096.218761683134}
{'time': 1622608777.76682, 'processing_delay': 1.1872189044952393, 'bandwidth': 3276.4400395464368}
{'time': 1622608779.2352238, 'processing_delay': 1.2028107643127441, 'bandwidth': 4096.812661202936}
{'time': 1622608780.703625, 'processing_delay': 1.1871910095214844, 'bandwidth': 4098.767493615608}
{'time': 1622608782.1876493, 'processing_delay': 1.2134928703308105, 'bandwidth': 4098.877019392274}
{'time': 1622608783.691389, 'processing_delay': 1.1689352989196777, 'bandwidth': 4282.411266167596}
{'time': 1622608785.1259134, 'processing_delay': 1.2495384216308594, 'bandwidth': 4098.798786097379}
{'time': 1622608786.6555467, 'processing_delay': 1.227546215057373, 'bandwidth': 4658.2553112107}
{'time': 1622608788.1756396, 'processing_delay': 1.2064385414123535, 'bandwidth': 4459.7830379504985}
{'time': 1622608789.6728923, 'processing_delay': 1.2380609512329102, 'bandwidth': 4096.4844322868385}
{'time': 1622608791.222051, 'processing_delay': 1.2366178035736084, 'bandwidth': 4897.3624691560735}
