{'time': 1622618979.4248514, 'processing_delay': 4.464654445648193, 'bandwidth': 3281.8277023516252}
{'time': 1622618984.2117105, 'processing_delay': 4.337675094604492, 'bandwidth': 3507.4128211409998}
{'time': 1622618988.868624, 'processing_delay': 4.4077699184417725, 'bandwidth': 3292.757332286594}
{'time': 1622618993.5951674, 'processing_delay': 4.495001316070557, 'bandwidth': 3249.332195490997}
{'time': 1622618998.4247289, 'processing_delay': 4.430305004119873, 'bandwidth': 3413.3962685214915}
{'time': 1622619003.1770399, 'processing_delay': 4.426051139831543, 'bandwidth': 3198.020634277681}
{'time': 1622619007.9242158, 'processing_delay': 4.4023942947387695, 'bandwidth': 3376.3130349472676}
{'time': 1622619012.6376815, 'processing_delay': 4.340723276138306, 'bandwidth': 3155.8643651337156}
{'time': 1622619017.289689, 'processing_delay': 4.3603363037109375, 'bandwidth': 3516.6140161266026}
{'time': 1622619021.9731486, 'processing_delay': 4.414770603179932, 'bandwidth': 3467.329591764242}
{'time': 1622619026.7102468, 'processing_delay': 4.3518311977386475, 'bandwidth': 3328.1832986693366}
{'time': 1622619031.3746736, 'processing_delay': 4.484233379364014, 'bandwidth': 3525.3311094986852}
{'time': 1622619036.1769967, 'processing_delay': 4.510393142700195, 'bandwidth': 3289.831620616333}
{'time': 1622619041.0024796, 'processing_delay': 4.4206883907318115, 'bandwidth': 3566.7272026680484}
{'time': 1622619045.7370985, 'processing_delay': 4.457257032394409, 'bandwidth': 3557.6865633562948}
{'time': 1622619050.5588696, 'processing_delay': 4.887691020965576, 'bandwidth': 3367.9889588717974}
{'time': 1622619055.7671866, 'processing_delay': 4.406054735183716, 'bandwidth': 3035.775988419434}
{'time': 1622619060.4907045, 'processing_delay': 4.516877174377441, 'bandwidth': 3375.994566926163}
{'time': 1622619065.3566597, 'processing_delay': 4.377405643463135, 'bandwidth': 3099.6092052238373}
{'time': 1622619070.0582259, 'processing_delay': 4.4134979248046875, 'bandwidth': 3194.6428488546803}
{'time': 1622619074.7849038, 'processing_delay': 4.34109354019165, 'bandwidth': 3516.360654449233}
{'time': 1622619079.4413717, 'processing_delay': 4.464886665344238, 'bandwidth': 3284.859775572388}
{'time': 1622619084.21927, 'processing_delay': 4.404427766799927, 'bandwidth': 3565.9691007877573}
{'time': 1622619088.9363317, 'processing_delay': 4.476036787033081, 'bandwidth': 3465.3377225255927}
{'time': 1622619093.7353537, 'processing_delay': 4.712449073791504, 'bandwidth': 3248.5653983928746}
{'time': 1622619098.7813237, 'processing_delay': 4.509162902832031, 'bandwidth': 3326.6262996790306}
{'time': 1622619103.6181405, 'processing_delay': 4.40559196472168, 'bandwidth': 3422.601049977528}
{'time': 1622619108.3385017, 'processing_delay': 4.558339595794678, 'bandwidth': 3129.05599850795}
{'time': 1622619113.2186875, 'processing_delay': 4.4069414138793945, 'bandwidth': 2831.2019258911596}
{'time': 1622619117.9373066, 'processing_delay': 4.4838032722473145, 'bandwidth': 3564.678700073369}
{'time': 1622619122.7459817, 'processing_delay': 4.456326007843018, 'bandwidth': 2842.444200310785}
{'time': 1622619127.5226922, 'processing_delay': 4.541044473648071, 'bandwidth': 3485.541018516114}
{'time': 1622619132.3848786, 'processing_delay': 4.488306760787964, 'bandwidth': 3131.5747500554135}
{'time': 1622619137.1944776, 'processing_delay': 4.514275074005127, 'bandwidth': 3421.3905019245967}
