('total_service_delay', 'net_speed', 'cpu_usage', 'memory_usage')
(0.5727308988571167, 128192.67239732569, 29.2, 50.5)
(0.5876641273498535, 64165.28170192423, 28.6, 50.5)
(0.5949811935424805, 128315.2275334608, 26.8, 50.5)
(0.5764009952545166, 64165.28170192423, 27.8, 50.5)
(0.5720770359039307, 128468.75137592726, 29.6, 50.6)
(0.5532783269882202, 64165.28170192423, 27.4, 50.5)
(0.5771510601043701, 128345.90294047334, 28.0, 50.5)
(0.5913417339324951, 64126.96034400382, 28.1, 50.5)
(0.5738035440444946, 65480.047810708624, 27.7, 50.5)
(0.5786148309707642, 128315.2275334608, 27.6, 50.5)
(0.6116553544998169, 64165.28170192423, 28.0, 50.5)
(0.5818966627120972, 128315.2275334608, 27.8, 50.5)
(0.5839989185333252, 128284.56678614097, 27.5, 50.5)
(0.5707817077636719, 128376.59301769489, 27.9, 50.5)
(0.5902477502822876, 64165.28170192423, 28.8, 50.5)
(0.5752546787261963, 128315.2275334608, 27.2, 50.5)
(0.5970014333724976, 128345.90294047334, 27.7, 50.5)
(0.5610201358795166, 128345.90294047334, 27.9, 50.5)
(0.5771751403808594, 64149.947663998086, 28.9, 50.5)
(0.5824205875396729, 128284.56678614097, 26.3, 50.5)
(0.571471095085144, 64165.28170192423, 29.6, 50.5)
(0.5740917921066284, 128284.56678614097, 27.5, 50.5)
(0.5969038009643555, 64165.28170192423, 27.4, 50.5)
(0.5838168859481812, 64157.6137667304, 27.7, 50.5)
(0.5714923143386841, 128345.90294047334, 28.9, 50.6)
(0.5694566965103149, 128284.56678614097, 28.4, 50.5)
(0.5797481536865234, 128315.2275334608, 27.4, 50.5)
(0.5993319749832153, 128345.90294047334, 28.4, 50.5)
(0.5642646551132202, 64149.947663998086, 27.9, 50.5)
(0.5852795839309692, 132331.99704214936, 27.1, 50.5)
(0.5899056196212769, 132823.08560118754, 27.0, 50.5)
(0.5754455327987671, 132462.59856896126, 28.4, 50.5)
(0.5909830331802368, 128345.90294047334, 27.0, 50.5)
(0.586844801902771, 128376.59301769489, 27.3, 50.5)
(0.606475830078125, 128376.59301769489, 31.9, 50.1)
(0.5711851119995117, 128253.92068800764, 26.8, 50.1)
(0.5949894189834595, 64180.623072325165, 26.5, 50.1)
(0.5621250867843628, 64142.28339307049, 28.4, 50.1)
(0.557344913482666, 64119.30156455273, 28.2, 50.1)
(0.5709133148193359, 64195.97178046156, 28.7, 50.1)
(0.5719138383865356, 128223.28922856461, 27.7, 50.1)
(0.5670958757400513, 128622.64302827025, 28.2, 50.1)
(0.580270528793335, 64157.6137667304, 27.9, 50.1)
(0.5812760591506958, 64119.30156455273, 26.9, 50.1)
(0.5742841958999634, 64134.62095329112, 29.4, 50.2)
(0.573433518409729, 64142.28339307049, 27.2, 50.1)
(0.5737841129302979, 128253.92068800764, 27.2, 50.1)
(0.5790994167327881, 64134.62095329112, 27.9, 50.1)
(0.5672972202301025, 128438.01722488039, 28.0, 50.1)
(0.5839458703994751, 128223.28922856461, 27.7, 50.1)
(0.5921707153320312, 64180.623072325165, 28.5, 50.1)
(0.5732686519622803, 128284.56678614097, 29.5, 50.1)
(0.5784791707992554, 128345.90294047334, 28.1, 50.1)
(0.5539276599884033, 128192.67239732569, 28.4, 50.1)
(0.5756930112838745, 128315.2275334608, 29.2, 50.1)
(0.5737894773483276, 128131.48257756564, 27.1, 50.1)
(0.5749626159667969, 64134.62095329112, 29.2, 50.1)
(0.5635393857955933, 128284.56678614097, 28.5, 49.9)
(0.5828549861907959, 128223.28922856461, 27.6, 49.8)
(0.5782766342163086, 128131.48257756564, 28.3, 49.9)
(0.5741192102432251, 128345.90294047334, 28.8, 49.9)
(0.587726354598999, 64211.32783159909, 30.2, 49.9)
(0.5819435119628906, 128223.28922856461, 27.7, 49.9)
(0.5900583267211914, 128315.2275334608, 27.8, 49.8)
(0.587926983833313, 128499.50023934897, 28.5, 49.9)
(0.5676995515823364, 64119.30156455273, 27.4, 49.9)
(0.5731840133666992, 128039.80729787741, 28.5, 49.8)
(0.584649920463562, 64157.6137667304, 28.8, 49.9)
(0.5717227458953857, 128499.50023934897, 28.4, 49.8)
(0.5714716911315918, 128223.28922856461, 27.7, 49.9)
(0.576932430267334, 128284.56678614097, 28.2, 49.8)
(0.5818301439285278, 128284.56678614097, 30.2, 49.9)
(0.5661457777023315, 128284.56678614097, 27.9, 49.8)
(0.5724323987960815, 128345.90294047334, 27.4, 49.8)
(0.579360842704773, 128192.67239732569, 28.3, 49.8)
(0.5747575759887695, 132462.59856896126, 28.7, 49.9)
(0.5608320236206055, 65154.23689320388, 28.6, 49.9)
(0.5800948143005371, 128100.90956812217, 29.5, 49.9)
(0.5738517045974731, 128192.67239732569, 30.0, 49.9)
(0.5853370428085327, 64172.95147023667, 29.0, 50.0)
(0.5739130973815918, 128315.2275334608, 28.0, 49.9)
(0.5713740587234497, 128315.2275334608, 29.8, 50.0)
(0.5804475545883179, 64180.623072325165, 27.4, 49.9)
(0.5670390129089355, 128284.56678614097, 29.0, 49.9)
(0.5684962272644043, 128499.50023934897, 29.2, 49.9)
(0.5693553686141968, 128468.75137592726, 28.6, 49.9)
(0.564857006072998, 128284.56678614097, 28.3, 49.9)
(0.5787057876586914, 128223.28922856461, 28.3, 49.9)
(0.5754538774490356, 128253.92068800764, 28.9, 50.0)
(0.5595046281814575, 64149.947663998086, 28.7, 49.9)
